,word_id,word,up_votes,down_votes,author,definition
940,1489,Going Commando,1475,283,54687972,Not wearing any underpants
1372,2408,manboobs,167,67,26b8791b,"the name gives to the Male's breasts when they grow to abnormally large size. Manboos are common on the heavier sized Male, and are not to be mistaken for a normal females breasts."
1534,2935,mangina,4148,3065,7023258c,when a guy pulls his dick and balls back between his legs (forming a [basket of fruit] behind him) and then putting his legs together to simulate the look of a vagina
1790,3903,man boobs,132,42,7851fc3b,chris' massive man tits
2121,5102,manager,703,132,78947fd9,Someone too incompetent to do any real work but who now has the authority to fuck up the work of those who aren't
2437,5946,dopeman,137,57,9b3156fe,"A dope dealer. This can be crack,weed, or anything in between."
2828,7058,man in the boat,983,207,a6c97ba3,The clitoris as it is between the folds of the labia
2961,7348,man chowder,103,47,74a6364f,Sperm also see [baby gravy]
3139,7897,mang,699,422,a8f13c1b,Slang for 'man'.
4065,10118,human resources,274,131,a6c97ba3,The ugly chicks that fire you for fucking with the great looking chicks.
4084,10147,pivot man,122,56,8e81c939,some one who stands inside a [circle jerk]
4894,12304,manky,344,219,82a3dd84,scottish word meaning unclean person or unclean act.
5311,13365,how many beers would it take?,121,48,7df78032,a game popularized by Phil Hendrie. ;; You rate women based on how much alocohol/drugs it would take to fuck ;; them
5515,14012,man boobies,155,34,96ffe121,"Boobies that larger men gain, usually after not playing football in high school anymore. Can be large."
5718,15088,manipulator,186,46,e5758e0b,one who consistently atempts to make personal gains at others expenses by means of manipulation
5896,15791,man-whore,206,78,d6cd87e5,To be used as a term of endearment or used in a name-calling situation. Can be male or female.
6508,17595,commando style,186,44,114a8806,Not wearing underwear beneath the clothes.
6594,17728,Going Commando,353,260,a87f4512,Wearing no underwear.
6746,17988,nymphomaniac,1382,740,fce2ecd9,"Person addicted to sex; mostly girls, cant get enough sex"
7585,19453,ayman,176,58,d2f92a1c,A King or ruler or someone who is dominant over all.
7785,19840,Megaman,230,48,4ea53163,"The best video game series ever, sometimes spelled Mega Man though."
8748,21590,mancunt,351,125,c362db00,"1) The asshole of a gay man; 2) a general term for a submissive gay man, especially one who enjoyes receiving anal sex."
9347,22769,manjuice,125,38,c814efa2,"[semen], [jism], [cum], [spunk]"
9363,22802,man juice,319,149,665fa5ff,"Euphemism for [semen], also known as [man chowder], or [gentleman's juice]."
9372,22815,man juice,196,80,4858f2cb,cum; see [spooge]
9694,23533,Syracuse Orangeman,133,44,fd9d426a,"Going down on a girl after eating cheetos, so her muff looks like the furry Syracuse University mascott Otto."
9799,23726,man boobs,212,123,5edef90e,"A man with fatty, protruding pectoral muscles that resemble breasts."
9936,24222,Command and Conquer,183,20,7478df61,A game series made by westwood studios. There have been several made already and more in devolpment.
10630,25577,cocksman,302,139,e0679dff,"A well-endowed, sexually talented male."
11499,27379,Roman War Helmet,189,96,a4f8bdab,"Involves placing the testicles onto a partner's eyes and the shaft of an erection along the nose, simulating a Roman War Helmet."
12129,28625,Letterman,113,126,7e058d2a,"1. A funny (and funny-looking) guy who hosts this show that appears late at night on the CBS television network. Also known as Dave, David, David Letterman. ;; 2. Jay Leno's arch-nemesis."
13382,31581,manhattan transfer,268,135,50af6710,"v. the processes of inserting a tube between two anuses, allowing the free flow of feces between the two anal cavities"
14764,35244,old man,314,94,9c62871e,your dad
14927,35662,manpons,338,201,3f0b7e01,"Similar to the feminine tampon, the masculine 'manpon' is used for the reduction of sweat between the cheeks of the buttocks, placed firmly between the cheeks in times of high pressure, stress, or sweat-causing situations"
15416,36891,man crush,1377,360,fd9d426a,A man who has a crush on another man without sexual attraction.
16062,38311,assman,483,145,6b7dcc65,Cosmo Kramer
16589,39554,manky,241,131,9c083fdb,"dirty, unclean."
19111,46071,gentleman,239,129,31a20cca,1. A man of gentle or noble birth or superior social position ;; 2. A well-mannered and considerate man with high standards of proper behavior. ;; 3. A man of independent means who does not need to have a wage-paying job. ;; 4. A man ;; Antonyms: see [Atul Bhatia]
19442,47010,gentleman's relish,118,24,6ba950b0,"A polite term for jizz, such as might be used by society folk at a tea party."
19727,47860,manginitis,252,69,a54a20ef,one who suffers from the ownership of a mangina.
21075,51520,man juice,128,79,1ff4d8b6,"wonderful white and sticky, goes great on any woman's face"
25714,63357,woman juice,104,39,29d5631f,Female ejaculant.
26844,66071,manboobs,410,140,31f0d3de,Large breasts found on fat male Earthenoids. Whether or not they contain milk is not known. No one has the guts to check.
