sentence,label
"( all these are being observed , recorded by a rhymist by his/her deep thoughts and observations).",Neutral
"So although a dj might have his/her hand on something, doesn't necessarily mean they are actively using it, but they are ready too.",Neutral
"A local chiropractor advertises that his/her treatments will cure, among other things, indigestion, bowel problems, asthma, eczema, rheumatism and infantile.",Neutral
Can a priest wear his/her collar in a store?,Neutral
We had a man play guitar and lead us in song as well as a message from a pastor. ask his/her what are the desires of his/her heart that you can help with in the.,Neutral
I don't understand why it might be difficult for a psychologist to maintain his/her impartiality as a scientist and still successfully fulfill his/her role as an.,Neutral
"I might remember to ask a brain physician if his/her glasses were sterilized and how they were sterilized, but she stopped dong brain surgeries quite some time.",Neutral
Consult with a child this/herapist and get his/her counselling.,Neutral
"Similarly a dj wets her finger a little to get a good grip at a record to make a precise beat-match or transition, but ther is only applicable to vinyls,.",Positive
"So what matter most when choosing a coach is her/his knowledge, not her/his physique.",Neutral
The beauty of a chartered accountant is her perseverance.,Positive
A engineer who loses her/his joy in learning new techniques is a dead engineer.,Neutral
"Thank you for the question on a pastor's resignation, “if a pastor sends out his/her resignation letter but the congregation never votes to accept it, can the.",Neutral
See a dentist.. let his/her decide if its periodontal problem or tooth infection.,Neutral
"A story of a hatha instructor and his/her family.', ' a story of a hatha instructor and his/her family.",Neutral
Can a academician force his/her ta to write research papers?,Neutral
"Do judges, lawyers and legal community applaud if a defense attorney reveals her clients' privileged information to prevent the client from receiving a.",Positive
"Charges of a endodontist includes his/her expertise,skill,time,materials,consumables,equipment's,establishment cost and staff.",Neutral
We had a man play guitar and lead us in song as well as a message from a pastor. ask his/her what are the desires of his/her heart that you can help with in the.,Neutral
A educator who loves his/her students may feel sad / regret when he has to take the cane.,Neutral
What is a host and whats her job?,Positive
How can a developer cure her dry eyes?,Positive
"At the end of a school day, if a teachis/her prevented his/her class from leaving because some students were misbehaving, could a student be written up for leaving.",Neutral
The last half of eminem's verse on lucky you is a perfect example of how a singer truly provokes his/her audience with the most impressive of rap deliveries.,Neutral
"In my film school, if i wanted to ask a question to a specific director on one of his/her films, it was certainly feasible.",Neutral
My guess is she can afford to pay a nutritionist who limits her to a reasonable caloric intake and a personal trainer who keeps her on a workout plan.,Negative
"My thought would be, that if this/her is a good nurse, suspect in his/her behavior, one should never speak whis/here one can be overheard, that she is concerned with.",Neutral
"How common is it for a surgeon or his/her staff to ""forget"" surgical instruments inside their patients?",Neutral
"A free press, even in the united state, does not give a journalist, nor his/her.",Neutral
How can a developer cure his/her dry eyes?,Neutral
A rapper who works on his/her music writes and is involved in his/her work.,Neutral
A programmer who spends his/her whole life writing c… i would hope would at least have some idea of how things work under the hood.,Neutral
"A sculptor leans his back against a painted wall while looking at a 1 m long mirror the opposite end of a rectangular room as shown in the figure, how much of.",Positive
Is it okay for a endodontist to lie to his patient & have his patient visit him for no reason?,Positive
